"","mclust cluster"
"1",0
"2",2
"3",3
"4",0
"5",1
"6",1
"7",4
"8",0
"9",5
"10",2
"11",3
"12",0
"13",6
"14",0
"15",1
"16",0
"17",1
"18",6
"19",0
"20",1
"21",4
"22",2
"23",6
"24",6
"25",6
"26",3
"27",1
"28",1
"29",1
"30",6
"31",6
"32",4
"33",6
"34",6
"35",0
"36",0
"37",0
"38",5
"39",1
"40",0
"41",6
"42",5
"43",4
"44",0
"45",0
"46",6
"47",6
"48",4
"49",1
"50",6
"51",1
"52",6
"53",6
"54",3
"55",2
"56",0
"57",4
"58",6
"59",3
"60",6
"61",0
"62",6
"63",1
"64",2
"65",3
"66",6
"67",6
"68",0
"69",6
"70",6
"71",3
"72",2
"73",1
"74",6
"75",6
"76",3
"77",6
"78",6
"79",4
"80",4
"81",0
"82",0
"83",0
"84",1
"85",0
"86",0
"87",0
"88",6
"89",1
"90",6
"91",3
"92",1
"93",6
"94",6
"95",0
"96",1
"97",6
"98",0
"99",5
"100",3
"101",4
"102",6
"103",6
"104",0
"105",1
"106",0
"107",2
"108",2
"109",2
"110",6
"111",0
"112",2
"113",2
"114",0
"115",3
"116",6
"117",6
"118",0
"119",6
"120",6
"121",6
"122",2
"123",2
"124",6
"125",6
"126",3
"127",1
"128",2
"129",6
"130",1
"131",6
"132",1
"133",1
"134",6
"135",5
"136",3
"137",6
"138",1
"139",1
"140",0
"141",3
"142",6
"143",0
"144",4
"145",1
"146",1
"147",6
"148",6
"149",6
"150",0
"151",6
"152",0
"153",6
"154",1
"155",3
"156",6
"157",3
"158",6
"159",0
"160",6
"161",6
"162",6
"163",0
"164",1
"165",4
"166",2
"167",0
"168",4
"169",4
"170",0
"171",0
"172",5
"173",3
"174",6
"175",6
"176",6
"177",1
"178",3
"179",0
"180",6
"181",3
"182",6
"183",3
"184",6
"185",5
"186",1
"187",6
"188",0
"189",6
"190",6
"191",2
"192",0
"193",0
"194",2
"195",1
"196",0
"197",6
"198",6
"199",6
"200",4
"201",5
"202",2
"203",6
"204",4
"205",6
"206",4
"207",1
"208",6
"209",2
"210",0
"211",5
"212",1
"213",0
"214",6
"215",6
"216",4
"217",4
"218",3
"219",4
"220",1
"221",4
"222",2
"223",1
"224",6
"225",3
"226",1
"227",6
"228",1
"229",6
"230",0
"231",3
"232",0
"233",5
"234",3
"235",0
"236",0
"237",5
"238",6
"239",6
"240",1
"241",6
"242",6
"243",1
"244",6
"245",0
"246",1
"247",1
"248",1
"249",6
"250",4
"251",6
"252",6
"253",6
"254",6
"255",6
"256",3
"257",2
"258",6
"259",6
"260",3
"261",6
"262",0
"263",1
"264",6
"265",6
"266",5
"267",0
"268",4
"269",6
"270",3
"271",6
"272",6
"273",5
"274",6
"275",6
"276",4
"277",1
"278",4
"279",6
"280",6
"281",1
"282",0
"283",2
"284",2
"285",1
"286",0
"287",0
"288",5
"289",2
"290",1
"291",0
"292",5
"293",6
"294",3
"295",0
"296",6
"297",0
"298",1
"299",5
"300",6
"301",2
"302",6
"303",6
"304",6
"305",6
"306",4
"307",1
"308",4
"309",6
"310",6
"311",1
"312",0
"313",4
"314",1
"315",0
"316",1
"317",1
"318",2
"319",3
"320",6
"321",6
"322",0
"323",6
"324",3
"325",6
"326",6
"327",6
"328",6
"329",5
"330",0
"331",3
"332",6
"333",3
"334",4
"335",6
"336",4
"337",6
"338",0
"339",4
"340",5
"341",0
"342",4
"343",1
"344",6
"345",6
"346",3
"347",2
"348",6
"349",4
"350",3
"351",0
"352",6
"353",1
"354",0
"355",2
"356",0
"357",4
"358",5
"359",0
"360",2
"361",6
"362",0
"363",1
"364",1
"365",1
"366",1
"367",0
"368",6
"369",6
"370",6
"371",6
"372",5
"373",6
"374",2
"375",4
"376",1
"377",2
"378",3
"379",4
"380",2
"381",6
"382",1
"383",6
"384",6
"385",6
"386",0
"387",1
"388",1
"389",6
"390",0
"391",4
"392",0
"393",6
"394",6
"395",4
"396",6
"397",2
"398",0
"399",5
"400",5
"401",5
"402",3
"403",6
"404",3
"405",2
"406",0
"407",6
"408",6
"409",3
"410",3
"411",6
"412",0
"413",1
"414",1
"415",6
"416",4
"417",1
"418",6
"419",0
"420",1
"421",5
"422",6
"423",6
"424",4
"425",6
"426",2
"427",6
"428",1
"429",6
"430",6
"431",1
"432",6
"433",2
"434",0
"435",6
"436",0
"437",6
"438",6
"439",2
"440",0
"441",6
"442",0
"443",1
"444",1
"445",6
"446",1
"447",1
"448",0
"449",0
"450",1
"451",6
"452",4
"453",0
"454",3
"455",6
"456",2
"457",4
"458",4
"459",6
"460",4
"461",6
"462",6
"463",6
"464",6
"465",6
"466",4
"467",6
"468",2
"469",1
"470",0
"471",1
"472",5
"473",4
"474",0
"475",5
"476",1
"477",4
"478",3
"479",6
"480",3
"481",1
"482",6
"483",0
"484",6
"485",6
"486",0
"487",2
"488",0
"489",0
"490",1
"491",2
"492",6
"493",6
"494",6
"495",6
"496",6
"497",6
"498",0
"499",5
"500",3
"501",2
"502",1
"503",4
"504",1
"505",6
"506",4
"507",3
"508",6
"509",6
"510",6
"511",6
"512",1
"513",2
"514",6
"515",4
"516",6
"517",6
"518",2
"519",0
"520",6
"521",2
"522",3
"523",4
"524",6
"525",3
"526",0
"527",4
"528",3
"529",6
"530",3
"531",6
"532",6
"533",4
"534",0
"535",4
"536",6
"537",0
"538",1
"539",4
"540",6
"541",1
"542",0
"543",2
"544",2
"545",1
"546",0
"547",4
"548",0
"549",6
"550",6
"551",0
"552",6
"553",6
"554",6
"555",0
"556",4
"557",6
"558",4
"559",2
"560",6
"561",6
"562",6
"563",6
"564",6
"565",6
"566",4
"567",6
"568",0
"569",1
"570",0
"571",4
"572",6
"573",6
"574",6
"575",4
"576",6
"577",6
"578",6
"579",4
"580",0
"581",3
"582",6
"583",6
"584",4
"585",6
"586",0
"587",2
"588",5
"589",1
"590",0
"591",0
"592",1
"593",0
"594",1
"595",3
"596",0
"597",4
"598",6
"599",6
"600",6
"601",6
"602",6
"603",6
"604",4
"605",1
"606",5
"607",1
"608",2
"609",0
"610",2
"611",6
"612",5
"613",4
"614",6
"615",2
"616",0
"617",6
"618",6
"619",3
"620",0
"621",6
"622",6
"623",6
"624",6
"625",0
"626",1
"627",0
"628",6
"629",0
"630",0
"631",6
"632",4
"633",6
"634",3
"635",4
"636",4
"637",4
"638",6
"639",5
"640",2
"641",6
"642",2
"643",0
"644",6
"645",5
"646",6
"647",4
"648",0
"649",0
"650",5
"651",4
"652",0
"653",3
"654",6
"655",6
"656",6
"657",0
"658",3
"659",4
"660",6
"661",0
"662",5
"663",5
"664",4
"665",6
"666",0
"667",4
"668",0
"669",6
"670",0
"671",0
"672",6
"673",1
"674",0
"675",2
"676",6
"677",1
"678",6
"679",4
"680",6
"681",6
"682",5
"683",6
"684",2
"685",2
"686",2
"687",1
"688",6
"689",6
"690",6
"691",0
"692",4
"693",2
"694",1
"695",0
"696",2
"697",5
"698",1
"699",1
"700",1
"701",1
"702",5
"703",0
"704",4
"705",6
"706",1
"707",6
"708",6
"709",1
"710",1
"711",6
"712",6
"713",0
"714",2
"715",1
"716",6
"717",1
"718",4
"719",6
"720",6
"721",6
"722",0
"723",1
"724",5
"725",6
"726",2
"727",6
"728",2
"729",0
"730",1
"731",6
"732",6
"733",6
"734",0
"735",6
"736",2
"737",6
"738",4
"739",6
"740",6
"741",1
"742",6
"743",4
"744",5
"745",1
"746",6
"747",6
"748",5
"749",3
"750",0
"751",2
"752",0
"753",5
"754",0
"755",6
"756",1
"757",0
"758",4
"759",6
"760",6
"761",6
"762",1
"763",0
"764",3
"765",6
"766",4
"767",6
"768",4
"769",6
"770",3
"771",0
"772",4
"773",0
"774",6
"775",0
"776",2
"777",0
"778",6
"779",2
"780",6
"781",0
"782",4
"783",4
"784",4
"785",4
"786",6
"787",4
"788",2
"789",1
"790",6
"791",2
"792",1
"793",5
"794",0
"795",6
"796",6
"797",4
"798",5
"799",0
"800",1
"801",1
"802",5
"803",6
"804",5
"805",4
"806",6
"807",6
"808",1
"809",1
"810",6
"811",6
"812",3
"813",0
"814",6
"815",5
"816",6
"817",6
"818",3
"819",4
"820",6
"821",6
"822",0
"823",4
"824",4
"825",6
"826",6
"827",6
"828",0
"829",6
"830",1
"831",6
"832",6
"833",1
"834",5
"835",6
"836",6
"837",5
"838",2
"839",1
"840",6
"841",1
"842",3
"843",0
"844",0
"845",4
"846",6
"847",3
"848",4
"849",6
"850",6
"851",5
"852",2
"853",1
"854",6
"855",4
"856",6
"857",1
"858",6
"859",6
"860",6
"861",4
"862",2
"863",6
"864",6
"865",6
"866",6
"867",0
"868",6
"869",1
"870",6
"871",0
"872",0
"873",6
"874",6
"875",6
"876",5
"877",6
"878",4
"879",6
"880",3
"881",2
"882",0
"883",6
"884",6
"885",0
"886",6
"887",1
"888",0
"889",6
"890",0
"891",6
"892",2
"893",1
"894",5
"895",6
"896",0
"897",0
"898",1
"899",6
"900",2
"901",2
"902",6
"903",3
"904",0
"905",0
"906",6
"907",0
"908",6
"909",6
"910",0
"911",6
"912",6
"913",6
"914",6
"915",6
"916",0
"917",4
"918",6
"919",4
"920",6
"921",6
"922",4
"923",6
"924",0
"925",0
"926",5
"927",5
"928",4
"929",1
"930",6
"931",4
"932",0
"933",0
"934",6
"935",2
"936",0
"937",6
"938",6
"939",5
"940",6
"941",0
"942",4
"943",6
"944",1
"945",6
"946",1
"947",6
"948",1
"949",6
"950",1
"951",1
"952",5
"953",6
"954",6
"955",6
"956",6
"957",6
"958",3
"959",2
"960",0
"961",2
"962",6
"963",6
"964",6
"965",6
"966",0
"967",1
"968",1
"969",2
"970",6
"971",3
"972",4
"973",0
"974",5
"975",6
"976",6
"977",6
"978",2
"979",3
"980",1
"981",6
"982",5
"983",2
"984",6
"985",0
"986",6
"987",1
"988",3
"989",6
"990",2
"991",2
"992",0
"993",0
"994",3
"995",6
"996",5
"997",6
"998",0
"999",3
"1000",5
"1001",4
"1002",2
"1003",0
"1004",1
"1005",6
"1006",0
"1007",0
"1008",3
"1009",0
"1010",4
"1011",4
"1012",6
"1013",6
"1014",6
"1015",6
"1016",0
"1017",6
"1018",6
"1019",6
"1020",2
"1021",6
"1022",6
"1023",6
"1024",0
"1025",5
"1026",6
"1027",4
"1028",0
"1029",6
"1030",0
"1031",2
"1032",5
"1033",6
"1034",1
"1035",6
"1036",3
"1037",6
"1038",1
"1039",6
"1040",5
"1041",1
"1042",6
"1043",1
"1044",6
"1045",2
"1046",6
"1047",5
"1048",4
"1049",6
"1050",4
"1051",1
"1052",6
"1053",4
"1054",0
"1055",6
"1056",4
"1057",0
"1058",3
"1059",6
"1060",6
"1061",6
"1062",6
"1063",0
"1064",6
"1065",0
"1066",4
"1067",2
"1068",6
"1069",0
"1070",4
"1071",6
"1072",6
"1073",2
"1074",2
"1075",0
"1076",1
"1077",3
"1078",1
"1079",0
"1080",6
"1081",0
"1082",4
"1083",6
"1084",2
"1085",0
"1086",2
"1087",2
"1088",6
"1089",6
"1090",0
"1091",5
"1092",4
"1093",1
"1094",6
"1095",0
"1096",1
"1097",1
"1098",2
"1099",6
"1100",1
"1101",1
"1102",4
"1103",2
"1104",6
"1105",1
"1106",0
"1107",6
"1108",4
"1109",6
"1110",6
"1111",0
"1112",4
"1113",6
"1114",4
"1115",4
"1116",6
"1117",6
"1118",6
"1119",3
"1120",2
"1121",5
"1122",2
"1123",6
"1124",1
"1125",6
"1126",0
"1127",6
"1128",6
"1129",0
"1130",6
"1131",6
"1132",6
"1133",0
"1134",6
"1135",6
"1136",1
"1137",0
"1138",6
"1139",6
"1140",6
"1141",0
"1142",6
"1143",6
"1144",6
"1145",1
"1146",4
"1147",1
"1148",0
"1149",2
"1150",6
"1151",6
"1152",6
"1153",4
"1154",1
"1155",6
"1156",2
"1157",2
"1158",0
"1159",6
"1160",2
"1161",6
"1162",0
"1163",6
"1164",3
"1165",6
"1166",2
"1167",5
"1168",3
"1169",6
"1170",5
"1171",4
"1172",6
"1173",1
"1174",6
"1175",1
"1176",6
"1177",1
"1178",6
"1179",6
"1180",6
"1181",1
"1182",2
"1183",6
"1184",6
"1185",3
"1186",1
"1187",5
"1188",6
"1189",4
"1190",0
"1191",6
"1192",1
"1193",0
"1194",3
"1195",6
"1196",6
"1197",1
"1198",2
"1199",1
"1200",6
"1201",6
"1202",1
"1203",6
"1204",1
"1205",2
"1206",6
"1207",2
"1208",0
"1209",0
"1210",6
"1211",6
"1212",5
"1213",2
"1214",6
"1215",1
"1216",0
"1217",2
"1218",0
"1219",1
"1220",6
"1221",6
"1222",3
"1223",6
"1224",1
"1225",1
"1226",6
"1227",4
"1228",0
"1229",0
"1230",2
"1231",4
"1232",2
"1233",0
"1234",5
"1235",4
"1236",5
"1237",0
"1238",1
"1239",6
"1240",0
"1241",1
"1242",6
"1243",6
"1244",6
"1245",5
"1246",2
"1247",1
"1248",6
"1249",4
"1250",1
"1251",3
"1252",6
"1253",0
"1254",2
"1255",3
"1256",6
"1257",0
"1258",2
"1259",6
"1260",6
"1261",2
"1262",1
"1263",6
"1264",6
"1265",2
"1266",2
"1267",5
"1268",4
"1269",6
"1270",2
"1271",1
"1272",6
"1273",6
"1274",6
"1275",5
"1276",4
"1277",0
"1278",6
"1279",0
"1280",6
"1281",6
"1282",0
"1283",1
"1284",6
"1285",1
"1286",6
"1287",1
"1288",0
"1289",2
"1290",6
"1291",6
"1292",6
"1293",1
"1294",4
"1295",6
"1296",2
"1297",1
"1298",0
"1299",6
"1300",4
"1301",2
"1302",0
"1303",6
"1304",1
"1305",0
"1306",6
"1307",1
"1308",0
"1309",1
"1310",4
"1311",6
"1312",1
"1313",0
"1314",4
"1315",1
"1316",6
"1317",0
"1318",0
"1319",3
"1320",6
"1321",4
"1322",6
"1323",0
"1324",4
"1325",6
"1326",1
"1327",6
"1328",6
"1329",1
"1330",0
"1331",0
"1332",6
"1333",2
"1334",6
"1335",4
"1336",0
"1337",6
"1338",6
"1339",6
"1340",4
"1341",6
"1342",6
"1343",3
"1344",3
"1345",1
"1346",2
"1347",0
"1348",4
"1349",1
"1350",1
"1351",0
"1352",6
"1353",6
"1354",6
"1355",2
"1356",6
"1357",6
"1358",3
"1359",0
"1360",6
"1361",0
"1362",6
"1363",0
"1364",1
"1365",6
"1366",6
"1367",4
"1368",6
"1369",3
"1370",3
"1371",1
"1372",6
"1373",2
"1374",6
"1375",6
"1376",2
"1377",0
"1378",6
"1379",1
"1380",0
"1381",6
"1382",6
"1383",6
"1384",1
"1385",1
"1386",0
"1387",1
"1388",2
"1389",6
"1390",0
"1391",3
"1392",1
"1393",2
"1394",6
"1395",5
"1396",4
"1397",0
"1398",4
"1399",0
"1400",2
"1401",0
"1402",1
"1403",6
"1404",4
"1405",6
"1406",0
"1407",3
"1408",6
"1409",4
"1410",4
"1411",1
"1412",5
"1413",0
"1414",0
"1415",2
"1416",6
"1417",4
"1418",4
"1419",6
"1420",5
"1421",2
"1422",1
"1423",2
"1424",0
"1425",5
"1426",2
"1427",5
"1428",6
"1429",6
"1430",6
"1431",2
"1432",1
"1433",6
"1434",1
"1435",4
"1436",4
"1437",6
"1438",6
"1439",6
"1440",0
"1441",4
"1442",3
"1443",0
