"","mclust cluster"
"1",2
"2",4
"3",5
"4",2
"5",3
"6",3
"7",0
"8",2
"9",6
"10",4
"11",5
"12",1
"13",0
"14",2
"15",3
"16",2
"17",3
"18",0
"19",6
"20",3
"21",5
"22",4
"23",2
"24",2
"25",2
"26",5
"27",3
"28",0
"29",3
"30",2
"31",2
"32",5
"33",2
"34",0
"35",2
"36",2
"37",2
"38",6
"39",3
"40",2
"41",0
"42",6
"43",0
"44",2
"45",6
"46",4
"47",2
"48",0
"49",0
"50",4
"51",3
"52",2
"53",2
"54",5
"55",4
"56",2
"57",5
"58",0
"59",5
"60",0
"61",2
"62",2
"63",0
"64",4
"65",5
"66",2
"67",0
"68",6
"69",2
"70",4
"71",5
"72",4
"73",0
"74",0
"75",2
"76",5
"77",2
"78",2
"79",5
"80",5
"81",6
"82",2
"83",2
"84",0
"85",2
"86",2
"87",6
"88",1
"89",0
"90",2
"91",5
"92",0
"93",2
"94",0
"95",6
"96",3
"97",0
"98",2
"99",2
"100",5
"101",5
"102",2
"103",0
"104",2
"105",3
"106",6
"107",4
"108",0
"109",4
"110",2
"111",2
"112",4
"113",4
"114",1
"115",5
"116",0
"117",0
"118",2
"119",6
"120",2
"121",0
"122",4
"123",4
"124",2
"125",2
"126",5
"127",3
"128",4
"129",2
"130",3
"131",0
"132",3
"133",3
"134",0
"135",6
"136",5
"137",1
"138",3
"139",3
"140",6
"141",5
"142",0
"143",2
"144",5
"145",0
"146",0
"147",0
"148",2
"149",0
"150",6
"151",1
"152",2
"153",0
"154",0
"155",5
"156",0
"157",5
"158",0
"159",2
"160",2
"161",2
"162",0
"163",2
"164",0
"165",0
"166",4
"167",2
"168",5
"169",5
"170",1
"171",2
"172",6
"173",5
"174",2
"175",2
"176",0
"177",0
"178",5
"179",2
"180",2
"181",5
"182",4
"183",5
"184",1
"185",6
"186",0
"187",4
"188",6
"189",2
"190",0
"191",4
"192",2
"193",2
"194",4
"195",1
"196",6
"197",2
"198",0
"199",0
"200",5
"201",6
"202",4
"203",0
"204",5
"205",2
"206",3
"207",0
"208",0
"209",4
"210",2
"211",6
"212",0
"213",6
"214",2
"215",2
"216",5
"217",5
"218",5
"219",3
"220",3
"221",4
"222",4
"223",3
"224",0
"225",5
"226",3
"227",0
"228",3
"229",0
"230",2
"231",5
"232",2
"233",2
"234",5
"235",6
"236",2
"237",1
"238",0
"239",2
"240",0
"241",2
"242",0
"243",1
"244",0
"245",2
"246",1
"247",3
"248",0
"249",2
"250",5
"251",2
"252",0
"253",0
"254",2
"255",2
"256",5
"257",4
"258",0
"259",2
"260",5
"261",0
"262",2
"263",3
"264",2
"265",0
"266",6
"267",6
"268",5
"269",4
"270",5
"271",2
"272",2
"273",2
"274",2
"275",1
"276",5
"277",0
"278",4
"279",0
"280",0
"281",0
"282",2
"283",4
"284",4
"285",1
"286",2
"287",2
"288",6
"289",4
"290",0
"291",6
"292",6
"293",2
"294",5
"295",2
"296",0
"297",2
"298",0
"299",6
"300",0
"301",4
"302",2
"303",4
"304",6
"305",2
"306",3
"307",0
"308",0
"309",1
"310",2
"311",3
"312",2
"313",5
"314",3
"315",2
"316",0
"317",3
"318",4
"319",5
"320",0
"321",2
"322",2
"323",2
"324",5
"325",0
"326",0
"327",1
"328",0
"329",6
"330",2
"331",5
"332",2
"333",5
"334",5
"335",2
"336",5
"337",0
"338",6
"339",0
"340",6
"341",2
"342",5
"343",3
"344",4
"345",0
"346",5
"347",4
"348",2
"349",5
"350",5
"351",2
"352",0
"353",0
"354",2
"355",4
"356",2
"357",3
"358",6
"359",2
"360",4
"361",0
"362",2
"363",0
"364",0
"365",0
"366",0
"367",2
"368",0
"369",2
"370",2
"371",0
"372",6
"373",1
"374",4
"375",0
"376",1
"377",4
"378",5
"379",5
"380",4
"381",2
"382",0
"383",2
"384",2
"385",0
"386",2
"387",0
"388",3
"389",2
"390",6
"391",5
"392",2
"393",2
"394",2
"395",5
"396",0
"397",4
"398",2
"399",6
"400",6
"401",6
"402",5
"403",2
"404",5
"405",4
"406",2
"407",0
"408",2
"409",5
"410",5
"411",0
"412",2
"413",0
"414",3
"415",2
"416",5
"417",3
"418",0
"419",2
"420",3
"421",6
"422",0
"423",2
"424",5
"425",2
"426",4
"427",0
"428",0
"429",4
"430",0
"431",0
"432",2
"433",4
"434",2
"435",0
"436",6
"437",0
"438",2
"439",0
"440",2
"441",1
"442",0
"443",1
"444",3
"445",6
"446",0
"447",3
"448",6
"449",2
"450",0
"451",0
"452",5
"453",2
"454",5
"455",0
"456",4
"457",4
"458",5
"459",0
"460",5
"461",4
"462",2
"463",2
"464",2
"465",6
"466",4
"467",2
"468",0
"469",0
"470",6
"471",3
"472",6
"473",5
"474",6
"475",6
"476",3
"477",5
"478",5
"479",0
"480",5
"481",0
"482",2
"483",6
"484",0
"485",2
"486",2
"487",4
"488",2
"489",6
"490",0
"491",4
"492",2
"493",0
"494",0
"495",2
"496",0
"497",0
"498",2
"499",6
"500",5
"501",4
"502",3
"503",4
"504",0
"505",2
"506",5
"507",5
"508",0
"509",1
"510",0
"511",0
"512",0
"513",4
"514",2
"515",5
"516",0
"517",0
"518",4
"519",2
"520",0
"521",4
"522",5
"523",5
"524",2
"525",5
"526",2
"527",5
"528",5
"529",2
"530",5
"531",0
"532",0
"533",5
"534",6
"535",3
"536",2
"537",2
"538",0
"539",5
"540",2
"541",1
"542",6
"543",4
"544",4
"545",0
"546",6
"547",5
"548",2
"549",2
"550",2
"551",6
"552",0
"553",0
"554",2
"555",2
"556",5
"557",0
"558",5
"559",4
"560",2
"561",0
"562",4
"563",0
"564",0
"565",2
"566",5
"567",2
"568",2
"569",0
"570",2
"571",3
"572",2
"573",4
"574",1
"575",5
"576",0
"577",0
"578",2
"579",5
"580",2
"581",5
"582",0
"583",4
"584",5
"585",4
"586",2
"587",4
"588",6
"589",0
"590",6
"591",2
"592",0
"593",2
"594",0
"595",5
"596",2
"597",5
"598",0
"599",4
"600",1
"601",4
"602",2
"603",2
"604",5
"605",3
"606",2
"607",3
"608",4
"609",2
"610",4
"611",3
"612",6
"613",5
"614",0
"615",4
"616",6
"617",0
"618",0
"619",5
"620",2
"621",0
"622",0
"623",1
"624",2
"625",2
"626",0
"627",6
"628",4
"629",2
"630",2
"631",2
"632",0
"633",2
"634",5
"635",3
"636",5
"637",0
"638",0
"639",6
"640",4
"641",2
"642",4
"643",2
"644",2
"645",1
"646",1
"647",5
"648",6
"649",2
"650",2
"651",5
"652",2
"653",5
"654",2
"655",0
"656",0
"657",2
"658",5
"659",5
"660",0
"661",2
"662",6
"663",6
"664",5
"665",1
"666",2
"667",5
"668",6
"669",0
"670",2
"671",2
"672",0
"673",3
"674",2
"675",4
"676",2
"677",3
"678",2
"679",5
"680",2
"681",2
"682",6
"683",0
"684",4
"685",4
"686",4
"687",0
"688",2
"689",2
"690",3
"691",2
"692",3
"693",4
"694",0
"695",6
"696",4
"697",6
"698",3
"699",1
"700",0
"701",3
"702",6
"703",2
"704",0
"705",2
"706",0
"707",2
"708",0
"709",3
"710",3
"711",0
"712",6
"713",2
"714",4
"715",3
"716",4
"717",1
"718",5
"719",0
"720",2
"721",0
"722",2
"723",3
"724",6
"725",0
"726",4
"727",0
"728",4
"729",2
"730",0
"731",0
"732",0
"733",2
"734",2
"735",4
"736",4
"737",2
"738",0
"739",2
"740",1
"741",3
"742",2
"743",0
"744",6
"745",3
"746",0
"747",2
"748",6
"749",5
"750",2
"751",4
"752",2
"753",6
"754",2
"755",2
