"","mclust cluster"
"1",2
"2",4
"3",1
"4",2
"5",3
"6",0
"7",0
"8",2
"9",6
"10",4
"11",1
"12",5
"13",3
"14",2
"15",3
"16",2
"17",2
"18",3
"19",6
"20",3
"21",1
"22",4
"23",2
"24",2
"25",3
"26",1
"27",3
"28",3
"29",3
"30",3
"31",2
"32",1
"33",3
"34",3
"35",3
"36",5
"37",5
"38",6
"39",2
"40",2
"41",3
"42",5
"43",0
"44",2
"45",6
"46",4
"47",3
"48",0
"49",3
"50",4
"51",3
"52",3
"53",3
"54",1
"55",4
"56",2
"57",0
"58",3
"59",1
"60",3
"61",3
"62",3
"63",4
"64",4
"65",1
"66",3
"67",3
"68",6
"69",3
"70",4
"71",1
"72",4
"73",3
"74",3
"75",2
"76",1
"77",3
"78",3
"79",0
"80",1
"81",6
"82",3
"83",2
"84",3
"85",5
"86",3
"87",2
"88",3
"89",3
"90",3
"91",1
"92",3
"93",3
"94",3
"95",2
"96",2
"97",3
"98",2
"99",5
"100",1
"101",0
"102",3
"103",3
"104",3
"105",3
"106",2
"107",4
"108",4
"109",4
"110",3
"111",2
"112",4
"113",4
"114",5
"115",1
"116",3
"117",3
"118",2
"119",2
"120",4
"121",3
"122",4
"123",4
"124",4
"125",3
"126",1
"127",3
"128",4
"129",2
"130",3
"131",3
"132",3
"133",3
"134",3
"135",6
"136",1
"137",3
"138",3
"139",3
"140",2
"141",1
"142",3
"143",2
"144",0
"145",3
"146",3
"147",3
"148",4
"149",3
"150",2
"151",3
"152",2
"153",3
"154",3
"155",1
"156",3
"157",1
"158",3
"159",3
"160",2
"161",3
"162",3
"163",2
"164",3
"165",0
"166",4
"167",2
"168",0
"169",0
"170",5
"171",5
"172",6
"173",1
"174",4
"175",2
"176",3
"177",3
"178",1
"179",3
"180",3
"181",1
"182",4
"183",1
"184",5
"185",6
"186",4
"187",4
"188",6
"189",3
"190",3
"191",4
"192",5
"193",3
"194",4
"195",3
"196",2
"197",3
"198",3
"199",3
"200",0
"201",6
"202",4
"203",3
"204",0
"205",2
"206",0
"207",3
"208",3
"209",4
"210",5
"211",5
"212",3
"213",5
"214",3
"215",3
"216",1
"217",1
"218",1
"219",0
"220",3
"221",0
"222",4
"223",3
"224",3
"225",1
"226",3
"227",3
"228",3
"229",3
"230",2
"231",1
"232",3
"233",5
"234",1
"235",2
"236",2
"237",5
"238",3
"239",2
"240",3
"241",3
"242",3
"243",3
"244",3
"245",3
"246",3
"247",3
"248",3
"249",4
"250",1
"251",3
"252",3
"253",3
"254",3
"255",3
"256",1
"257",4
"258",3
"259",3
"260",1
"261",3
"262",2
"263",3
"264",3
"265",3
"266",6
"267",2
"268",0
"269",4
"270",1
"271",3
"272",3
"273",2
"274",3
"275",5
"276",0
"277",3
"278",0
"279",3
"280",3
"281",0
"282",5
"283",4
"284",4
"285",3
"286",3
"287",2
"288",6
"289",4
"290",3
"291",6
"292",6
"293",2
"294",1
"295",3
"296",3
"297",2
"298",3
"299",6
"300",3
"301",4
"302",2
"303",4
"304",2
"305",3
"306",0
"307",4
"308",0
"309",3
"310",3
"311",3
"312",2
"313",1
"314",3
"315",5
"316",4
"317",3
"318",4
"319",1
"320",3
"321",3
"322",2
"323",3
"324",1
"325",3
"326",3
"327",3
"328",3
"329",6
"330",3
"331",1
"332",2
"333",1
"334",0
"335",3
"336",0
"337",3
"338",6
"339",0
"340",6
"341",2
"342",0
"343",3
"344",2
"345",3
"346",1
"347",4
"348",3
"349",0
"350",1
"351",2
"352",3
"353",3
"354",2
"355",4
"356",5
"357",0
"358",6
"359",2
"360",4
"361",3
"362",2
"363",3
"364",4
"365",3
"366",3
"367",3
"368",3
"369",2
"370",4
"371",3
"372",6
"373",3
"374",4
"375",0
"376",3
"377",4
"378",1
"379",0
"380",4
"381",3
"382",3
"383",3
"384",3
"385",3
"386",2
"387",3
"388",3
"389",2
"390",2
"391",0
"392",2
"393",3
"394",2
"395",0
"396",3
"397",4
"398",2
"399",6
"400",6
"401",6
"402",1
"403",3
"404",1
"405",4
"406",5
"407",3
"408",3
"409",1
"410",1
"411",4
"412",3
"413",3
"414",3
"415",4
"416",0
"417",3
"418",3
"419",3
"420",3
"421",5
"422",3
"423",2
"424",0
"425",3
"426",4
"427",3
"428",3
"429",4
"430",3
"431",3
"432",2
"433",4
"434",2
"435",3
"436",6
"437",3
"438",4
"439",4
"440",5
"441",5
"442",3
"443",3
"444",3
"445",2
"446",3
"447",3
"448",2
"449",2
"450",3
"451",3
"452",0
"453",2
"454",1
"455",3
"456",4
"457",0
"458",0
"459",3
"460",0
"461",3
"462",2
"463",3
"464",2
"465",2
"466",0
"467",3
"468",4
"469",3
"470",6
"471",3
"472",5
"473",0
"474",2
"475",6
"476",3
"477",1
"478",1
"479",3
"480",1
"481",3
"482",3
"483",2
"484",3
"485",3
"486",2
"487",4
"488",2
"489",6
"490",3
"491",4
"492",3
"493",3
"494",3
"495",3
"496",3
"497",3
"498",3
"499",5
"500",1
"501",4
"502",3
"503",0
"504",3
"505",3
"506",0
"507",1
"508",3
"509",3
"510",3
"511",3
"512",3
"513",4
"514",3
"515",1
"516",3
"517",3
"518",4
"519",5
"520",3
"521",4
"522",1
"523",0
"524",3
"525",1
"526",2
"527",0
"528",1
"529",3
"530",1
"531",3
"532",3
"533",0
"534",2
"535",0
"536",3
"537",2
"538",3
"539",0
"540",3
"541",3
"542",2
"543",4
"544",4
"545",3
"546",2
"547",1
"548",5
"549",3
"550",3
"551",2
"552",3
"553",3
"554",3
"555",2
"556",0
"557",3
"558",0
"559",4
"560",2
"561",4
"562",4
"563",3
"564",3
"565",3
"566",0
"567",3
"568",2
"569",3
"570",5
"571",0
"572",4
"573",2
"574",3
"575",0
"576",3
"577",3
"578",3
"579",0
"580",3
"581",1
"582",3
"583",4
"584",1
"585",4
"586",2
"587",4
"588",6
"589",3
"590",2
"591",3
"592",3
"593",3
"594",3
"595",1
"596",5
"597",0
"598",3
"599",3
"600",3
"601",4
"602",3
"603",3
"604",1
"605",3
"606",6
"607",0
"608",4
"609",3
"610",4
"611",3
"612",6
"613",0
"614",3
"615",4
"616",2
"617",3
"618",3
"619",1
"620",2
"621",2
"622",3
"623",3
"624",2
"625",5
"626",0
"627",2
"628",2
"629",3
"630",2
"631",3
"632",0
"633",4
"634",1
"635",0
"636",0
"637",0
"638",3
"639",5
"640",4
"641",3
"642",4
"643",5
"644",3
"645",5
"646",3
"647",0
"648",2
"649",2
"650",5
"651",1
"652",2
"653",1
"654",4
"655",3
"656",3
"657",5
"658",1
"659",0
"660",3
"661",3
"662",5
"663",5
"664",0
"665",3
"666",2
"667",0
"668",5
"669",3
"670",3
"671",2
"672",3
"673",3
"674",5
"675",4
"676",3
"677",0
"678",3
"679",0
"680",3
"681",3
"682",6
"683",3
"684",4
"685",4
"686",4
"687",3
"688",4
"689",3
"690",3
"691",2
"692",0
"693",4
"694",3
"695",2
"696",4
"697",6
"698",3
"699",3
"700",0
"701",3
"702",5
"703",2
"704",0
"705",4
"706",3
"707",3
"708",3
"709",3
"710",3
"711",3
"712",2
"713",3
"714",4
"715",3
"716",4
"717",3
"718",0
"719",3
"720",3
"721",3
"722",3
"723",2
"724",6
"725",3
"726",4
"727",3
"728",4
"729",5
"730",3
"731",3
"732",3
"733",2
"734",2
"735",4
"736",4
"737",2
"738",0
"739",3
"740",3
"741",3
"742",4
"743",0
"744",5
"745",3
"746",3
"747",2
"748",6
"749",1
"750",2
"751",4
"752",2
"753",6
"754",2
"755",3
